trace_id,index_in_trace,user_id,timestamp,timestamp_local,latitude,longitude
1,0,1,2025-01-01T12:00:00,2025-01-01T13:00:00,48.853402,2.348785
1,1,1,2025-01-01T12:00:01,2025-01-01T13:00:01,48.853204,2.348621
1,2,1,2025-01-01T12:00:02,2025-01-01T13:00:02,48.853006,2.348456
1,3,1,2025-01-01T12:00:03,2025-01-01T13:00:03,48.852809,2.348292
1,4,1,2025-01-01T12:00:04,2025-01-01T13:00:04,48.852611,2.348128
1,5,1,2025-01-01T12:00:05,2025-01-01T13:00:05,48.852413,2.347964
1,6,1,2025-01-01T12:00:06,2025-01-01T13:00:06,48.852215,2.3478
1,7,1,2025-01-01T12:00:07,2025-01-01T13:00:07,48.852017,2.347635
1,8,1,2025-01-01T12:00:08,2025-01-01T13:00:08,48.851819,2.347471
1,9,1,2025-01-01T12:00:09,2025-01-01T13:00:09,48.851621,2.347307
1,10,1,2025-01-01T12:00:10,2025-01-01T13:00:10,48.851423,2.347143
1,11,1,2025-01-01T12:00:11,2025-01-01T13:00:11,48.851225,2.346979
1,12,1,2025-01-01T12:00:12,2025-01-01T13:00:12,48.851027,2.346814
1,13,1,2025-01-01T12:00:13,2025-01-01T13:00:13,48.850829,2.34665
1,14,1,2025-01-01T12:00:14,2025-01-01T13:00:14,48.850631,2.346486
1,15,1,2025-01-01T12:00:15,2025-01-01T13:00:15,48.850433,2.346322
1,16,1,2025-01-01T12:00:16,2025-01-01T13:00:16,48.850235,2.346157
1,17,1,2025-01-01T12:00:17,2025-01-01T13:00:17,48.850037,2.345993
1,18,1,2025-01-01T12:00:18,2025-01-01T13:00:18,48.849839,2.345829
1,19,1,2025-01-01T12:00:19,2025-01-01T13:00:19,48.849641,2.345665
1,20,1,2025-01-01T12:00:20,2025-01-01T13:00:20,48.849443,2.345501
1,21,1,2025-01-01T12:00:21,2025-01-01T13:00:21,48.849245,2.345336
1,22,1,2025-01-01T12:00:22,2025-01-01T13:00:22,48.849048,2.345172
1,23,1,2025-01-01T12:00:23,2025-01-01T13:00:23,48.84885,2.345008
1,24,1,2025-01-01T12:00:24,2025-01-01T13:00:24,48.848652,2.344844
1,25,1,2025-01-01T12:00:25,2025-01-01T13:00:25,48.848454,2.34468
1,26,1,2025-01-01T12:00:26,2025-01-01T13:00:26,48.848256,2.344515
1,27,1,2025-01-01T12:00:27,2025-01-01T13:00:27,48.848058,2.344351
1,28,1,2025-01-01T12:00:28,2025-01-01T13:00:28,48.84786,2.344187
1,29,1,2025-01-01T12:00:29,2025-01-01T13:00:29,48.847662,2.344023
1,30,1,2025-01-01T12:00:30,2025-01-01T13:00:30,48.847464,2.343858
1,31,1,2025-01-01T12:00:31,2025-01-01T13:00:31,48.847266,2.343694
1,32,1,2025-01-01T12:00:32,2025-01-01T13:00:32,48.847068,2.34353
1,33,1,2025-01-01T12:00:33,2025-01-01T13:00:33,48.84687,2.343366
1,34,1,2025-01-01T12:00:34,2025-01-01T13:00:34,48.846672,2.343202
1,35,1,2025-01-01T12:00:35,2025-01-01T13:00:35,48.846474,2.343037
1,36,1,2025-01-01T12:00:36,2025-01-01T13:00:36,48.846276,2.342873
1,37,1,2025-01-01T12:00:37,2025-01-01T13:00:37,48.846078,2.342709
1,38,1,2025-01-01T12:00:38,2025-01-01T13:00:38,48.84588,2.342545
1,39,1,2025-01-01T12:00:39,2025-01-01T13:00:39,48.845682,2.342381
1,40,1,2025-01-01T12:00:40,2025-01-01T13:00:40,48.845484,2.342216
1,41,1,2025-01-01T12:00:41,2025-01-01T13:00:41,48.845287,2.342052
1,42,1,2025-01-01T12:00:42,2025-01-01T13:00:42,48.845089,2.341888
1,43,1,2025-01-01T12:00:43,2025-01-01T13:00:43,48.844891,2.341724
1,44,1,2025-01-01T12:00:44,2025-01-01T13:00:44,48.844693,2.34156
1,45,1,2025-01-01T12:00:45,2025-01-01T13:00:45,48.844495,2.341395
1,46,1,2025-01-01T12:00:46,2025-01-01T13:00:46,48.844297,2.341231
1,47,1,2025-01-01T12:00:47,2025-01-01T13:00:47,48.844099,2.341067
1,48,1,2025-01-01T12:00:48,2025-01-01T13:00:48,48.843901,2.340903
1,49,1,2025-01-01T12:00:49,2025-01-01T13:00:49,48.843703,2.340738
1,50,1,2025-01-01T12:00:50,2025-01-01T13:00:50,48.843505,2.340574
1,51,1,2025-01-01T12:00:51,2025-01-01T13:00:51,48.843307,2.34041
1,52,1,2025-01-01T12:00:52,2025-01-01T13:00:52,48.843109,2.340246
1,53,1,2025-01-01T12:00:53,2025-01-01T13:00:53,48.842911,2.340082
1,54,1,2025-01-01T12:00:54,2025-01-01T13:00:54,48.842713,2.339917
1,55,1,2025-01-01T12:00:55,2025-01-01T13:00:55,48.842515,2.339753
1,56,1,2025-01-01T12:00:56,2025-01-01T13:00:56,48.842317,2.339589
1,57,1,2025-01-01T12:00:57,2025-01-01T13:00:57,48.842119,2.339425
1,58,1,2025-01-01T12:00:58,2025-01-01T13:00:58,48.841921,2.339261
1,59,1,2025-01-01T12:00:59,2025-01-01T13:00:59,48.841723,2.339096
1,60,1,2025-01-01T12:01:00,2025-01-01T13:01:00,48.841526,2.338932
1,61,1,2025-01-01T12:01:01,2025-01-01T13:01:01,48.841328,2.338768
1,62,1,2025-01-01T12:01:02,2025-01-01T13:01:02,48.84113,2.338604
1,63,1,2025-01-01T12:01:03,2025-01-01T13:01:03,48.840932,2.338439
1,64,1,2025-01-01T12:01:04,2025-01-01T13:01:04,48.840734,2.338275
1,65,1,2025-01-01T12:01:05,2025-01-01T13:01:05,48.840536,2.338111
1,66,1,2025-01-01T12:01:06,2025-01-01T13:01:06,48.840338,2.337947
1,67,1,2025-01-01T12:01:07,2025-01-01T13:01:07,48.84014,2.337783
1,68,1,2025-01-01T12:01:08,2025-01-01T13:01:08,48.839942,2.337618
1,69,1,2025-01-01T12:01:09,2025-01-01T13:01:09,48.839744,2.337454
1,70,1,2025-01-01T12:01:10,2025-01-01T13:01:10,48.839546,2.33729
1,71,1,2025-01-01T12:01:11,2025-01-01T13:01:11,48.839348,2.337126
1,72,1,2025-01-01T12:01:12,2025-01-01T13:01:12,48.83915,2.336962
1,73,1,2025-01-01T12:01:13,2025-01-01T13:01:13,48.838952,2.336797
1,74,1,2025-01-01T12:01:14,2025-01-01T13:01:14,48.838754,2.336633
